geometry.coordinates,geometry.type,id,properties.alert,properties.cdi,properties.code,properties.detail,properties.dmin,properties.felt,properties.gap,properties.ids,properties.mag,properties.magType,properties.mmi,properties.net,properties.nst,properties.place,properties.rms,properties.sig,properties.sources,properties.status,properties.time,properties.title,properties.tsunami,properties.type,properties.types,properties.tz,properties.updated,properties.url,type
"[-155.0285, 19.2798333, 38.968]",Point,hv61156001,,,61156001,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/hv61156001.geojson,0.0952,,224.0,",hv61156001,",1.84,md,,hv,44.0,"23km SSW of Leilani Estates, Hawaii",0.09,52,",hv,",reviewed,1453237863200,"M 1.8 - 23km SSW of Leilani Estates, Hawaii",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,",-600,1453241034670,http://earthquake.usgs.gov/earthquakes/eventpage/hv61156001,Feature
"[-112.3865, 44.6085, 3.95]",Point,mb80120524,,,80120524,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/mb80120524.geojson,0.016,,86.0,",mb80120524,",1.78,ml,,mb,13.0,"16km E of Lima, Montana",0.18,49,",mb,",reviewed,1453237517770,"M 1.8 - 16km E of Lima, Montana",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-420,1453238480450,http://earthquake.usgs.gov/earthquakes/eventpage/mb80120524,Feature
"[-118.7507, 38.6525, 15.4]",Point,nn00527647,,,00527647,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00527647.geojson,0.18,,303.41,",nn00527647,",0.6,ml,,nn,5.0,"17km NW of Hawthorne, Nevada",0.1109,6,",nn,",reviewed,1453237484067,"M 0.6 - 17km NW of Hawthorne, Nevada",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1453265950049,http://earthquake.usgs.gov/earthquakes/eventpage/nn00527647,Feature
"[-118.7744, 38.6566, 11.8]",Point,nn00527646,,,00527646,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00527646.geojson,0.199,,305.74,",nn00527646,",0.9,ml,,nn,4.0,"19km NW of Hawthorne, Nevada",0.0762,12,",nn,",reviewed,1453237432871,"M 0.9 - 19km NW of Hawthorne, Nevada",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1453265939005,http://earthquake.usgs.gov/earthquakes/eventpage/nn00527646,Feature
"[-122.3561667, 37.6478333, 11.65]",Point,nc72582006,,,72582006,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72582006.geojson,0.04279,,45.0,",nc72582006,",1.75,md,,nc,27.0,"5km ENE of San Bruno, California",0.09,47,",nc,",reviewed,1453237392410,"M 1.8 - 5km ENE of San Bruno, California",0,earthquake,",focal-mechanism,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1453498924903,http://earthquake.usgs.gov/earthquakes/eventpage/nc72582006,Feature
"[-149.0655, 64.671, 20.5]",Point,ak12473275,,,12473275,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12473275.geojson,,,,",ak12473275,",0.9,ml,,ak,,"10km NNE of North Nenana, Alaska",0.46,12,",ak,",reviewed,1453236710000,"M 0.9 - 10km NNE of North Nenana, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,",-540,1453428192769,http://earthquake.usgs.gov/earthquakes/eventpage/ak12473275,Feature
"[124.161, 1.8743, 297.23]",Point,us10004fpg,,1.0,10004fpg,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us10004fpg.geojson,3.212,0.0,79.0,",us10004fpg,",4.5,mb,,us,,"87km WNW of Manado, Indonesia",0.69,312,",us,",reviewed,1453236688230,"M 4.5 - 87km WNW of Manado, Indonesia",0,earthquake,",cap,dyfi,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",480,1453396189559,http://earthquake.usgs.gov/earthquakes/eventpage/us10004fpg,Feature
"[-98.7135, 36.507, 7.478]",Point,us10004fpc,green,3.1,10004fpc,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us10004fpc.geojson,,15.0,119.0,",us10004fpc,",3.8,mwr,3.87,us,,"33km S of Alva, Oklahoma",0.95,227,",us,",reviewed,1453236357700,"M 3.8 - 33km S of Alva, Oklahoma",0,earthquake,",cap,dyfi,general-link,geoserve,impact-text,losspager,moment-tensor,nearby-cities,origin,phase-data,shakemap,tectonic-summary,",-360,1453393732304,http://earthquake.usgs.gov/earthquakes/eventpage/us10004fpc,Feature
"[-122.8453333, 38.8198333, 2.32]",Point,nc72582001,,,72582001,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72582001.geojson,0.00869,,66.0,",nc72582001,",0.64,md,,nc,26.0,"9km WNW of The Geysers, California",0.04,6,",nc,",reviewed,1453235705180,"M 0.6 - 9km WNW of The Geysers, California",0,earthquake,",focal-mechanism,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1453496197400,http://earthquake.usgs.gov/earthquakes/eventpage/nc72582001,Feature
"[-152.765, 60.0359, 99.3]",Point,ak12483639,,,12483639,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12483639.geojson,,,,",ak12483639,",1.6,ml,,ak,,"50km S of Redoubt Volcano, Alaska",0.49,39,",ak,",reviewed,1453234971000,"M 1.6 - 50km S of Redoubt Volcano, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1453428360914,http://earthquake.usgs.gov/earthquakes/eventpage/ak12483639,Feature
"[-118.7908333, 37.5203333, 6.08]",Point,nc72581991,,,72581991,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72581991.geojson,0.06395,,126.0,",nc72581991,",0.88,md,,nc,16.0,"21km SE of Mammoth Lakes, California",0.08,12,",nc,",reviewed,1453234090180,"M 0.9 - 21km SE of Mammoth Lakes, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1453314844479,http://earthquake.usgs.gov/earthquakes/eventpage/nc72581991,Feature
"[-120.5818333, 36.0191667, 4.32]",Point,nc72581986,,,72581986,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72581986.geojson,0.03793,,78.0,",nc72581986,",1.46,md,,nc,35.0,"24km SW of Coalinga, California",0.05,33,",nc,",reviewed,1453233780390,"M 1.5 - 24km SW of Coalinga, California",0,earthquake,",cap,focal-mechanism,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,tectonic-summary,",-480,1453438506668,http://earthquake.usgs.gov/earthquakes/eventpage/nc72581986,Feature
"[-152.4104, 60.9662, 119]",Point,ak12473273,,,12473273,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12473273.geojson,,,,",ak12473273,",1.9,ml,,ak,,"56km NNE of Redoubt Volcano, Alaska",0.5,56,",ak,",reviewed,1453233461000,"M 1.9 - 56km NNE of Redoubt Volcano, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1453428340179,http://earthquake.usgs.gov/earthquakes/eventpage/ak12473273,Feature
"[-118.7865, 37.5245, 5.75]",Point,nc72581976,,,72581976,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72581976.geojson,0.06333,,162.0,",nc72581976,",0.87,md,,nc,18.0,"21km SE of Mammoth Lakes, California",0.08,12,",nc,",reviewed,1453233368490,"M 0.9 - 21km SE of Mammoth Lakes, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1453314606468,http://earthquake.usgs.gov/earthquakes/eventpage/nc72581976,Feature
"[-128.6529, 48.8876, 13.36]",Point,us10004fp1,,2.2,10004fp1,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us10004fp1.geojson,1.786,6.0,165.0,",us10004fp1,",4.5,mb,,us,,"203km W of Tofino, Canada",1.4,313,",us,",reviewed,1453233282190,"M 4.5 - 203km W of Tofino, Canada",0,earthquake,",cap,dyfi,geoserve,impact-text,nearby-cities,origin,phase-data,",-540,1453413135946,http://earthquake.usgs.gov/earthquakes/eventpage/us10004fp1,Feature
"[-116.2438333, 34.6938333, 2.66]",Point,ci37297895,,2.2,37297895,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37297895.geojson,0.07696,1.0,60.0,",ci37297895,",2.01,ml,,ci,22.0,"8km WSW of Ludlow, California",0.19,62,",ci,",reviewed,1453232890490,"M 2.0 - 8km WSW of Ludlow, California",0,earthquake,",cap,dyfi,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1453237590547,http://earthquake.usgs.gov/earthquakes/eventpage/ci37297895,Feature
"[-112.0115, 46.7943333, 5]",Point,mb80120509,,,80120509,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/mb80120509.geojson,0.149,,170.0,",mb80120509,",1.39,ml,,mb,9.0,"8km NNE of Helena Valley Northwest, Montana",0.13,30,",mb,",reviewed,1453232829860,"M 1.4 - 8km NNE of Helena Valley Northwest, Montana",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-420,1453237281030,http://earthquake.usgs.gov/earthquakes/eventpage/mb80120509,Feature
"[-141.1743, 61.5671, 10.9]",Point,ak12483636,,,12483636,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12483636.geojson,,,,",ak12483636,",0.7,ml,,ak,,"173km E of Chitina, Alaska",0.35,8,",ak,",reviewed,1453232776000,"M 0.7 - 173km E of Chitina, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1453428348195,http://earthquake.usgs.gov/earthquakes/eventpage/ak12483636,Feature
"[-98.6781, 36.4827, 5]",Point,us10004fny,,2.2,10004fny,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us10004fny.geojson,0.28,1.0,92.0,",us10004fny,",2.9,mb_lg,,us,,"29km NW of Fairview, Oklahoma",0.41,130,",us,",reviewed,1453232517230,"M 2.9 - 29km NW of Fairview, Oklahoma",0,earthquake,",cap,dyfi,general-link,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",-360,1453327986390,http://earthquake.usgs.gov/earthquakes/eventpage/us10004fny,Feature
"[-141.1387, 61.5502, 8.8]",Point,ak12483635,,,12483635,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12483635.geojson,,,,",ak12483635,",1.0,ml,,ak,,"175km E of Chitina, Alaska",0.22,15,",ak,",reviewed,1453231248000,"M 1.0 - 175km E of Chitina, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1453428359826,http://earthquake.usgs.gov/earthquakes/eventpage/ak12483635,Feature
"[26.9436, 36.6378, 146.36]",Point,us10004fnv,,1.0,10004fnv,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us10004fnv.geojson,1.225,1.0,104.0,",us10004fnv,",4.7,mb,,us,,"12km S of Kefalos, Greece",1.01,340,",us,",reviewed,1453230282830,"M 4.7 - 12km S of Kefalos, Greece",0,earthquake,",cap,dyfi,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",120,1453409303696,http://earthquake.usgs.gov/earthquakes/eventpage/us10004fnv,Feature
"[-141.154, 61.5337, 3.1]",Point,ak12483634,,,12483634,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12483634.geojson,,,,",ak12483634,",1.0,ml,,ak,,"174km E of Chitina, Alaska",0.5,15,",ak,",reviewed,1453229650000,"M 1.0 - 174km E of Chitina, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1453428358443,http://earthquake.usgs.gov/earthquakes/eventpage/ak12483634,Feature
"[119.9879, 20.6879, 15.84]",Point,us10004fnu,,1.0,10004fnu,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us10004fnu.geojson,2.35,0.0,61.0,",us10004fnu,",4.6,mb,,us,,"165km SSW of Hengchun, Taiwan",1.31,326,",us,",reviewed,1453229402100,"M 4.6 - 165km SSW of Hengchun, Taiwan",0,earthquake,",cap,dyfi,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",480,1453314571223,http://earthquake.usgs.gov/earthquakes/eventpage/us10004fnu,Feature
"[-120.3216667, 35.7855, 3.77]",Point,nc72581961,,,72581961,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72581961.geojson,0.01941,,71.0,",nc72581961,",0.76,md,,nc,26.0,"15km NNE of Shandon, California",0.06,9,",nc,",reviewed,1453229165590,"M 0.8 - 15km NNE of Shandon, California",0,earthquake,",cap,focal-mechanism,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,tectonic-summary,",-480,1453422221300,http://earthquake.usgs.gov/earthquakes/eventpage/nc72581961,Feature
"[-148.9628, 63.9284, 0]",Point,ak12472965,,,12472965,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12472965.geojson,,,,",ak12472965,",1.9,ml,,ak,,"7km N of Healy, Alaska",0.53,56,",ak,",reviewed,1453228837000,"M 1.9 - 7km N of Healy, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1453428282447,http://earthquake.usgs.gov/earthquakes/eventpage/ak12472965,Feature
"[-117.0787, 37.3828, 7.4]",Point,nn00527644,,,00527644,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00527644.geojson,0.371,,308.06,",nn00527644,",-0.1,ml,,nn,4.0,"38km SSE of Goldfield, Nevada",0.1051,0,",nn,",reviewed,1453228379594,"M -0.1 - 38km SSE of Goldfield, Nevada",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,",-480,1453265928209,http://earthquake.usgs.gov/earthquakes/eventpage/nn00527644,Feature
"[-154.2332, 58.2971, 77.1]",Point,ak12483632,,,12483632,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12483632.geojson,,,,",ak12483632,",2.0,ml,,ak,,"85km N of Larsen Bay, Alaska",0.51,62,",ak,",reviewed,1453228144000,"M 2.0 - 85km N of Larsen Bay, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1453428357156,http://earthquake.usgs.gov/earthquakes/eventpage/ak12483632,Feature
"[-169.7392, 52.3449, 51.38]",Point,us10004fnw,,1.0,10004fnw,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us10004fnw.geojson,0.488,0.0,209.0,",ak12472962,us10004fnw,",4.0,mb,,us,,"72km ESE of Yunaska Island, Alaska",1.26,246,",ak,us,",reviewed,1453227393190,"M 4.0 - 72km ESE of Yunaska Island, Alaska",0,earthquake,",cap,dyfi,general-link,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",-660,1453428216755,http://earthquake.usgs.gov/earthquakes/eventpage/us10004fnw,Feature
"[-169.5664, 51.7708, 26.4]",Point,ak12483630,,,12483630,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12483630.geojson,,,,",ak12483630,",2.4,ml,,ak,,"123km SE of Yunaska Island, Alaska",0.59,89,",ak,",reviewed,1453227084000,"M 2.4 - 123km SE of Yunaska Island, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-660,1453428346215,http://earthquake.usgs.gov/earthquakes/eventpage/ak12483630,Feature
"[-151.664, 60.8682, 76.5]",Point,ak12472959,,,12472959,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12472959.geojson,,,,",ak12472959,",1.7,ml,,ak,,"28km NW of Nikiski, Alaska",0.36,44,",ak,",reviewed,1453227062000,"M 1.7 - 28km NW of Nikiski, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1453428286468,http://earthquake.usgs.gov/earthquakes/eventpage/ak12472959,Feature
"[-117.481, 33.8235, -0.57]",Point,ci37297871,,,37297871,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37297871.geojson,0.03057,,61.0,",ci37297871,",1.66,ml,,ci,55.0,"7km SSE of Home Gardens, California",0.22,42,",ci,",reviewed,1453226382190,"M 1.7 Quarry Blast - 7km SSE of Home Gardens, California",0,quarry blast,",general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1453259670854,http://earthquake.usgs.gov/earthquakes/eventpage/ci37297871,Feature
"[-148.4745, 62.8907, 13.7]",Point,ak12472673,,,12472673,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12472673.geojson,,,,",ak12472673,",1.0,ml,,ak,,"60km SSE of Cantwell, Alaska",0.64,15,",ak,",reviewed,1453226334000,"M 1.0 - 60km SSE of Cantwell, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1453428192127,http://earthquake.usgs.gov/earthquakes/eventpage/ak12472673,Feature
"[-65.055, 18.0153, 8]",Point,pr16019011,,1.0,16019011,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/pr16019011.geojson,0.34764801,0.0,144.0,",pr16019011,us10004fpr,",2.8,Md,,pr,6.0,"38km SSW of Charlotte Amalie, U.S. Virgin Islands",0.28,121,",pr,us,",REVIEWED,1453226198900,"M 2.8 - 38km SSW of Charlotte Amalie, U.S. Virgin Islands",0,earthquake,",cap,dyfi,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",-240,1453311184040,http://earthquake.usgs.gov/earthquakes/eventpage/pr16019011,Feature
"[-162.4482, 54.7851, 134.84]",Point,us10004fnt,,1.0,10004fnt,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us10004fnt.geojson,0.565,0.0,175.0,",ak12472671,us10004fnt,",2.9,ml,,us,,"47km SSE of Cold Bay, Alaska",1.24,129,",ak,us,",reviewed,1453226123070,"M 2.9 - 47km SSE of Cold Bay, Alaska",0,earthquake,",cap,dyfi,general-link,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",-540,1453428240041,http://earthquake.usgs.gov/earthquakes/eventpage/us10004fnt,Feature
"[-152.9395, 59.4698, 82.8]",Point,ak12483626,,,12483626,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12483626.geojson,,,,",ak12483626,",1.7,ml,,ak,,"71km WSW of Anchor Point, Alaska",0.34,44,",ak,",reviewed,1453226120000,"M 1.7 - 71km WSW of Anchor Point, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1453428344251,http://earthquake.usgs.gov/earthquakes/eventpage/ak12483626,Feature
"[-148.5661, 62.0074, 40.2]",Point,ak12472669,,,12472669,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12472669.geojson,,,,",ak12472669,",1.2,ml,,ak,,"27km NNE of Sutton-Alpine, Alaska",0.47,22,",ak,",reviewed,1453225982000,"M 1.2 - 27km NNE of Sutton-Alpine, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1453428284462,http://earthquake.usgs.gov/earthquakes/eventpage/ak12472669,Feature
"[-116.7531667, 33.7096667, 16.26]",Point,ci37297863,,,37297863,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37297863.geojson,0.03254,,91.0,",ci37297863,",0.84,ml,,ci,31.0,"5km SW of Idyllwild, California",0.1,11,",ci,",reviewed,1453225278110,"M 0.8 - 5km SW of Idyllwild, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1453252993948,http://earthquake.usgs.gov/earthquakes/eventpage/ci37297863,Feature
"[-150.838, 63.5635, 11.5]",Point,ak12472667,,,12472667,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12472667.geojson,,,,",ak12472667,",1.4,ml,,ak,,"95km WNW of Cantwell, Alaska",0.69,30,",ak,",reviewed,1453224620000,"M 1.4 - 95km WNW of Cantwell, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1453428290499,http://earthquake.usgs.gov/earthquakes/eventpage/ak12472667,Feature
"[-118.7591, 38.6645, 13]",Point,nn00527643,,,00527643,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00527643.geojson,0.189,,306.85,",nn00527643,",0.8,ml,,nn,4.0,"19km NW of Hawthorne, Nevada",0.0426,10,",nn,",reviewed,1453224145640,"M 0.8 - 19km NW of Hawthorne, Nevada",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1453265917257,http://earthquake.usgs.gov/earthquakes/eventpage/nn00527643,Feature
"[-150.4431, 63.2438, 111.7]",Point,ak12483623,,,12483623,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12483623.geojson,,,,",ak12483623,",1.1,ml,,ak,,"76km WSW of Cantwell, Alaska",0.47,19,",ak,",reviewed,1453223941000,"M 1.1 - 76km WSW of Cantwell, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1453428355119,http://earthquake.usgs.gov/earthquakes/eventpage/ak12483623,Feature
"[-122.8066667, 38.8215, 2.76]",Point,nc72581956,,,72581956,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72581956.geojson,0.003266,,135.0,",nc72581956,",0.32,md,,nc,11.0,"6km NW of The Geysers, California",0.03,2,",nc,",reviewed,1453223631530,"M 0.3 - 6km NW of The Geysers, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1453421926560,http://earthquake.usgs.gov/earthquakes/eventpage/nc72581956,Feature
"[-66.3069, 18.5279, 88]",Point,pr16019010,,,16019010,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/pr16019010.geojson,0.2173923,,201.6,",pr16019010,",2.2,Md,,pr,8.0,"7km NNE of Brenas, Puerto Rico",0.15,74,",pr,",REVIEWED,1453223337200,"M 2.2 - 7km NNE of Brenas, Puerto Rico",0,earthquake,",cap,geoserve,nearby-cities,origin,tectonic-summary,",-240,1453236815440,http://earthquake.usgs.gov/earthquakes/eventpage/pr16019010,Feature
"[-122.6416667, 38.4271667, 10.26]",Point,nc72581951,,,72581951,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72581951.geojson,0.03118,,70.0,",nc72581951,",1.85,md,,nc,22.0,"6km ESE of Santa Rosa, California",0.08,53,",nc,",reviewed,1453223162410,"M 1.9 - 6km ESE of Santa Rosa, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1453346527057,http://earthquake.usgs.gov/earthquakes/eventpage/nc72581951,Feature
"[-152.3338, 60.4582, 90.2]",Point,ak12483622,,,12483622,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12483622.geojson,,,,",ak12483622,",1.6,ml,,ak,,"22km E of Redoubt Volcano, Alaska",0.37,39,",ak,",reviewed,1453222785000,"M 1.6 - 22km E of Redoubt Volcano, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1453428353828,http://earthquake.usgs.gov/earthquakes/eventpage/ak12483622,Feature
"[-116.2383333, 34.6895, 2.62]",Point,ci37297855,,,37297855,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37297855.geojson,0.07195,,59.0,",ci37297855,",2.02,ml,,ci,24.0,"8km WSW of Ludlow, California",0.18,63,",ci,",reviewed,1453222631270,"M 2.0 - 8km WSW of Ludlow, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1453236650937,http://earthquake.usgs.gov/earthquakes/eventpage/ci37297855,Feature
"[171.3854, -22.9811, 10]",Point,us10004fmh,,1.0,10004fmh,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us10004fmh.geojson,3.448,0.0,72.0,",us10004fmh,",5.3,mb,,us,,"93km SW of Ile Hunter, New Caledonia",1.36,432,",us,",reviewed,1453222463860,"M 5.3 - 93km SW of Ile Hunter, New Caledonia",0,earthquake,",cap,dyfi,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",660,1453226518218,http://earthquake.usgs.gov/earthquakes/eventpage/us10004fmh,Feature
"[-113.88, 37.51, 5.97]",Point,uu60136402,,,60136402,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uu60136402.geojson,0.052,,179.0,",nn00527567,uu60136402,",1.39,md,,uu,6.0,"15km WSW of Enterprise, Utah",0.23,30,",nn,uu,",reviewed,1453221021620,"M 1.4 - 15km WSW of Enterprise, Utah",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",-420,1453495903170,http://earthquake.usgs.gov/earthquakes/eventpage/uu60136402,Feature
"[-147.0832, 60.6855, 21.1]",Point,ak12483621,,,12483621,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12483621.geojson,,,,",ak12483621,",1.3,ml,,ak,,"63km SW of Valdez, Alaska",0.57,26,",ak,",reviewed,1453220775000,"M 1.3 - 63km SW of Valdez, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-600,1453428352206,http://earthquake.usgs.gov/earthquakes/eventpage/ak12483621,Feature
"[-150.5874, 61.716, 53.7]",Point,ak12483620,,,12483620,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12483620.geojson,,,,",ak12483620,",1.3,ml,,ak,,"29km W of Willow, Alaska",0.67,26,",ak,",reviewed,1453220684000,"M 1.3 - 29km W of Willow, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1453428274366,http://earthquake.usgs.gov/earthquakes/eventpage/ak12483620,Feature
"[-140.1949, 61.3469, 9.1]",Point,ak12483619,,,12483619,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12483619.geojson,,,,",ak12483619,",1.2,ml,,ak,,"159km WNW of Haines Junction, Canada",0.42,22,",ak,",reviewed,1453220054000,"M 1.2 - 159km WNW of Haines Junction, Canada",0,earthquake,",cap,geoserve,nearby-cities,origin,tectonic-summary,",-480,1453428273018,http://earthquake.usgs.gov/earthquakes/eventpage/ak12483619,Feature
"[-118.7714, 38.6616, 12.9]",Point,nn00527641,,,00527641,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00527641.geojson,0.198,,306.74,",nn00527641,",0.7,ml,,nn,5.0,"19km NW of Hawthorne, Nevada",0.0593,8,",nn,",reviewed,1453219001574,"M 0.7 - 19km NW of Hawthorne, Nevada",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1453265895098,http://earthquake.usgs.gov/earthquakes/eventpage/nn00527641,Feature
"[-98.7256, 36.4814, 5]",Point,us10004fm7,,3.4,10004fm7,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us10004fm7.geojson,0.226,2.0,115.0,",us10004fm7,",2.6,mb_lg,,us,,"32km NW of Fairview, Oklahoma",0.53,105,",us,",reviewed,1453218883570,"M 2.6 - 32km NW of Fairview, Oklahoma",0,earthquake,",cap,dyfi,general-link,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",-360,1453223166004,http://earthquake.usgs.gov/earthquakes/eventpage/us10004fm7,Feature
"[-150.6166, 62.4295, 66.4]",Point,ak12472372,,,12472372,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12472372.geojson,,,,",ak12472372,",1.4,ml,,ak,,"28km WNW of Talkeetna, Alaska",0.5,30,",ak,",reviewed,1453218698000,"M 1.4 - 28km WNW of Talkeetna, Alaska",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1453428288461,http://earthquake.usgs.gov/earthquakes/eventpage/ak12472372,Feature
